C:\Users\talla\Desktop\Data\IMG\center_2024_07_02_15_28_35_390.jpg, C:\Users\talla\Desktop\Data\IMG\left_2024_07_02_15_28_35_390.jpg, C:\Users\talla\Desktop\Data\IMG\right_2024_07_02_15_28_35_390.jpg, 0, 0.1283157, 0, 0.4934145
C:\Users\talla\Desktop\Data\IMG\center_2024_07_02_15_28_35_489.jpg, C:\Users\talla\Desktop\Data\IMG\left_2024_07_02_15_28_35_489.jpg, C:\Users\talla\Desktop\Data\IMG\right_2024_07_02_15_28_35_489.jpg, -0.1636791, 0.4276062, 0, 0.8399543
C:\Users\talla\Desktop\Data\IMG\center_2024_07_02_15_28_35_592.jpg, C:\Users\talla\Desktop\Data\IMG\left_2024_07_02_15_28_35_592.jpg, C:\Users\talla\Desktop\Data\IMG\right_2024_07_02_15_28_35_592.jpg, -0.4612356, 0.7251626, 0, 1.522042
C:\Users\talla\Desktop\Data\IMG\center_2024_07_02_15_28_35_694.jpg, C:\Users\talla\Desktop\Data\IMG\left_2024_07_02_15_28_35_694.jpg, C:\Users\talla\Desktop\Data\IMG\right_2024_07_02_15_28_35_694.jpg, -0.3382661, 1, 0, 2.582627
C:\Users\talla\Desktop\Data\IMG\center_2024_07_02_15_28_35_796.jpg, C:\Users\talla\Desktop\Data\IMG\left_2024_07_02_15_28_35_796.jpg, C:\Users\talla\Desktop\Data\IMG\right_2024_07_02_15_28_35_796.jpg, -0.0318803, 1, 0, 3.760084
C:\Users\talla\Desktop\Data\IMG\center_2024_07_02_15_28_35_898.jpg, C:\Users\talla\Desktop\Data\IMG\left_2024_07_02_15_28_35_898.jpg, C:\Users\talla\Desktop\Data\IMG\right_2024_07_02_15_28_35_898.jpg, -0.2642823, 1, 0, 4.921669
C:\Users\talla\Desktop\Data\IMG\center_2024_07_02_15_28_36_001.jpg, C:\Users\talla\Desktop\Data\IMG\left_2024_07_02_15_28_36_001.jpg, C:\Users\talla\Desktop\Data\IMG\right_2024_07_02_15_28_36_001.jpg, -0.2039304, 1, 0, 6.064528
C:\Users\talla\Desktop\Data\IMG\center_2024_07_02_15_28_36_104.jpg, C:\Users\talla\Desktop\Data\IMG\left_2024_07_02_15_28_36_104.jpg, C:\Users\talla\Desktop\Data\IMG\right_2024_07_02_15_28_36_104.jpg, 0, 1, 0, 7.433449
C:\Users\talla\Desktop\Data\IMG\center_2024_07_02_15_28_36_205.jpg, C:\Users\talla\Desktop\Data\IMG\left_2024_07_02_15_28_36_205.jpg, C:\Users\talla\Desktop\Data\IMG\right_2024_07_02_15_28_36_205.jpg, -0.1443687, 1, 0, 8.561883
C:\Users\talla\Desktop\Data\IMG\center_2024_07_02_15_28_36_305.jpg, C:\Users\talla\Desktop\Data\IMG\left_2024_07_02_15_28_36_305.jpg, C:\Users\talla\Desktop\Data\IMG\right_2024_07_02_15_28_36_305.jpg, -0.232662, 1, 0, 9.655788
C:\Users\talla\Desktop\Data\IMG\center_2024_07_02_15_28_36_406.jpg, C:\Users\talla\Desktop\Data\IMG\left_2024_07_02_15_28_36_406.jpg, C:\Users\talla\Desktop\Data\IMG\right_2024_07_02_15_28_36_406.jpg, 0, 1, 0, 10.76236
C:\Users\talla\Desktop\Data\IMG\center_2024_07_02_15_28_36_510.jpg, C:\Users\talla\Desktop\Data\IMG\left_2024_07_02_15_28_36_510.jpg, C:\Users\talla\Desktop\Data\IMG\right_2024_07_02_15_28_36_510.jpg, 0, 1, 0, 11.98851
C:\Users\talla\Desktop\Data\IMG\center_2024_07_02_15_28_36_612.jpg, C:\Users\talla\Desktop\Data\IMG\left_2024_07_02_15_28_36_612.jpg, C:\Users\talla\Desktop\Data\IMG\right_2024_07_02_15_28_36_612.jpg, -0.1516419, 1, 0, 12.96142
C:\Users\talla\Desktop\Data\IMG\center_2024_07_02_15_28_36_713.jpg, C:\Users\talla\Desktop\Data\IMG\left_2024_07_02_15_28_36_713.jpg, C:\Users\talla\Desktop\Data\IMG\right_2024_07_02_15_28_36_713.jpg, -0.1995321, 1, 0, 14.01822
C:\Users\talla\Desktop\Data\IMG\center_2024_07_02_15_28_36_814.jpg, C:\Users\talla\Desktop\Data\IMG\left_2024_07_02_15_28_36_814.jpg, C:\Users\talla\Desktop\Data\IMG\right_2024_07_02_15_28_36_814.jpg, 0, 1, 0, 14.98111
C:\Users\talla\Desktop\Data\IMG\center_2024_07_02_15_28_36_917.jpg, C:\Users\talla\Desktop\Data\IMG\left_2024_07_02_15_28_36_917.jpg, C:\Users\talla\Desktop\Data\IMG\right_2024_07_02_15_28_36_917.jpg, 0, 1, 0, 16.12376
